Date,BWXT,CCJ,LEU,LTBR,NLR,NXE,UEC,URA,URG,URNM,UUUU
2018-03-26,62.09131622314453,8.877754211425781,3.7300000190734863,13.800000190734863,40.13706970214844,1.9900000095367432,1.2899999618530273,10.317687034606934,0.5899999737739563,,1.5299999713897705
2018-03-27,60.41391372680664,8.819282531738281,3.640000104904175,13.800000190734863,40.71937561035156,1.8200000524520874,1.2599999904632568,10.249863624572754,0.5899999737739563,,1.5199999809265137
2018-03-28,59.44618606567383,8.721833229064941,3.5999999046325684,13.5600004196167,41.023193359375,1.7300000190734863,1.2599999904632568,10.037914276123047,0.5799999833106995,,1.5499999523162842
2018-03-29,58.55218505859375,8.858263969421387,3.549999952316284,14.039999961853027,41.023193359375,1.7000000476837158,1.309999942779541,10.232908248901367,0.6000000238418579,,1.7400000095367432
2018-04-02,57.704280853271484,9.004441261291504,3.6500000953674316,14.279999732971191,40.81221008300781,1.7000000476837158,1.2799999713897705,10.258341789245605,0.6000000238418579,,1.7300000190734863
2018-04-03,58.72730255126953,9.462457656860352,3.5299999713897705,13.920000076293945,41.6561393737793,1.7599999904632568,1.3200000524520874,10.71615219116211,0.6399999856948853,,1.850000023841858
2018-04-04,58.92085266113281,9.403986930847168,3.5199999809265137,14.039999961853027,41.42827224731445,1.8300000429153442,1.350000023841858,10.707674026489258,0.6399999856948853,,1.8700000047683716
2018-04-05,60.11899948120117,9.725574493408203,3.5199999809265137,13.5600004196167,41.47046661376953,2.0,1.409999966621399,11.02135944366455,0.6600000262260437,,1.909999966621399
2018-04-06,59.52912902832031,9.559908866882324,3.5299999713897705,13.920000076293945,41.369197845458984,1.8200000524520874,1.3899999856948853,10.800931930541992,0.6700000166893005,,1.8799999952316284
2018-04-09,59.75032424926758,9.53067398071289,3.630000114440918,13.800000190734863,41.63081359863281,1.8700000047683716,1.4800000190734863,11.089181900024414,0.7099999785423279,,1.840000033378601
2018-04-10,60.22037887573242,9.715829849243164,3.759999990463257,14.279999732971191,41.44515609741211,1.899999976158142,1.5,11.309609413146973,0.699999988079071,,1.8700000047683716
2018-04-11,60.69963455200195,9.774299621582031,3.700000047683716,14.279999732971191,41.495784759521484,1.9600000381469727,1.5,11.309609413146973,0.699999988079071,,1.840000033378601
2018-04-12,60.819435119628906,9.686594009399414,3.6600000858306885,13.920000076293945,41.107582092285156,1.940000057220459,1.5299999713897705,11.233307838439941,0.699999988079071,,1.7899999618530273
2018-04-13,61.354000091552734,9.686594009399414,3.430000066757202,14.15999984741211,41.107582092285156,1.850000023841858,1.4900000095367432,11.173962593078613,0.699999988079071,,1.8200000524520874
2018-04-16,62.23877716064453,9.988691329956055,3.509999990463257,14.640000343322754,41.639251708984375,2.0,1.6399999856948853,11.69959545135498,0.7200000286102295,,1.940000057220459
2018-04-17,63.91618347167969,10.134867668151855,3.4800000190734863,14.399999618530273,42.30595779418945,2.130000114440918,1.690000057220459,11.85219955444336,0.7400000095367432,,1.9700000286102295
2018-04-18,64.45074462890625,10.28104305267334,3.609999895095825,14.039999961853027,42.16249084472656,2.0199999809265137,1.7000000476837158,11.843721389770508,0.75,,2.0199999809265137
2018-04-19,65.07744598388672,10.3297700881958,3.890000104904175,13.680000305175781,42.16249084472656,2.0399999618530273,1.6200000047683716,11.758940696716309,0.75,,2.009999990463257
2018-04-20,65.38159942626953,10.300533294677734,4.0,12.84000015258789,42.11185836791992,2.1500000953674316,1.600000023841858,11.640251159667969,0.7400000095367432,,1.940000057220459
2018-04-23,65.23412322998047,9.969200134277344,4.010000228881836,12.720000267028809,42.11185836791992,2.1600000858306885,1.5399999618530273,11.267219543457031,0.7400000095367432,,1.840000033378601
2018-04-24,63.86088180541992,9.920475959777832,3.880000114440918,12.600000381469727,42.06965255737305,2.049999952316284,1.5399999618530273,11.097660064697266,0.7300000190734863,,1.809999942779541
2018-04-25,63.49222183227539,9.939966201782227,3.8499999046325684,12.720000267028809,42.28907775878906,2.0299999713897705,1.4600000381469727,11.072226524353027,0.7099999785423279,,1.809999942779541
2018-04-26,63.73185348510742,9.813281059265137,3.799999952316284,12.960000038146973,42.584449768066406,2.0299999713897705,1.5299999713897705,11.038315773010254,0.7300000190734863,,1.809999942779541
2018-04-27,62.9576416015625,10.115377426147461,3.7899999618530273,13.199999809265137,42.922019958496094,2.059999942779541,1.5199999809265137,11.241786003112793,0.7300000190734863,,1.8799999952316284
2018-04-30,62.48762512207031,10.261552810668945,3.630000114440918,13.079999923706055,43.23427200317383,2.0299999713897705,1.5099999904632568,11.309609413146973,0.7300000190734863,,1.7999999523162842
2018-05-01,61.695011138916016,10.86574649810791,3.6700000762939453,13.319999694824219,42.989532470703125,1.9800000190734863,1.6100000143051147,11.572426795959473,0.7300000190734863,,1.8600000143051147
2018-05-02,61.30791091918945,11.109374046325684,3.6700000762939453,13.199999809265137,42.93046188354492,2.1489999294281006,1.7000000476837158,11.91154670715332,0.7400000095367432,,1.9700000286102295
2018-05-03,61.114349365234375,10.924217224121094,3.569999933242798,13.079999923706055,42.685726165771484,2.059999942779541,1.6399999856948853,11.81828784942627,0.7300000190734863,,1.940000057220459
2018-05-04,61.28948211669922,10.953452110290527,3.549999952316284,13.199999809265137,42.685726165771484,2.0299999713897705,1.6399999856948853,11.708073616027832,0.7200000286102295,,1.9299999475479126
2018-05-07,62.39546585083008,11.021668434143066,3.4800000190734863,13.319999694824219,43.31022262573242,1.9600000381469727,1.559999942779541,11.691117286682129,0.7300000190734863,,1.850000023841858
